stream_id,step_index,items,exact,estimate
0,0,5000,4921,4910.097
0,1,10000,9787,9209.975
0,2,15000,14602,13995.342
0,3,20000,19411,19266.009
0,4,25000,24226,23557.794
0,5,30000,29018,28926.138
0,6,35000,33815,33336.464
0,7,40000,38616,37734.249
0,8,45000,43383,42121.618
0,9,50000,48173,47760.971
1,0,5000,4887,4927.308
1,1,10000,9699,9546.885
1,2,15000,14510,14325.818
1,3,20000,19321,19205.033
1,4,25000,24122,24190.541
1,5,30000,28945,29305.272
1,6,35000,33726,34243.197
1,7,40000,38504,39459.298
1,8,45000,43281,43411.752
1,9,50000,48057,48524.032
2,0,5000,4912,4975.924
2,1,10000,9749,10022.675
2,2,15000,14537,14796.747
2,3,20000,19354,19271.228
2,4,25000,24152,24562.443
2,5,30000,28938,28986.658
2,6,35000,33730,33419.489
2,7,40000,38502,38845.980
2,8,45000,43292,43734.296
2,9,50000,48064,49000.967
3,0,5000,4899,4942.653
3,1,10000,9724,10051.673
3,2,15000,14528,15231.523
3,3,20000,19341,20242.502
3,4,25000,24166,25004.789
3,5,30000,28964,29242.292
3,6,35000,33741,33733.435
3,7,40000,38525,38892.389
3,8,45000,43319,43089.767
3,9,50000,48077,48706.222
4,0,5000,4887,5151.315
4,1,10000,9716,9894.067
4,2,15000,14504,14271.508
4,3,20000,19331,18881.334
4,4,25000,24133,24354.896
4,5,30000,28954,29305.636
4,6,35000,33737,33063.708
4,7,40000,38526,38343.400
4,8,45000,43335,42698.265
4,9,50000,48112,46591.243
